ISIN;Currency;Exchange;ETF Underlying Index Ticker;Dvd Freq;Code;Type;Name;GICS Sector;GICS Ind Name;Name
FR0010524777;EUR;FP;WAEXC;Annual;NRJ;ETP;LYXOR NEW ENERGY DR;#N/A N/A;#N/A N/A;LYXETF NEW EGR
IE00B3DKXQ41;EUR;NA;LBEATREU;Semi-Anl;IEAG;ETP;ISHARES EURO AGGREGATE;#N/A N/A;#N/A N/A;ISHARES EURO AGG
FR0013041530;EUR;FP;SPTR500N;None;ESEH;ETP;BNP P S&P 500 UCITS ETF;#N/A N/A;#N/A N/A;BNPP S&P500 €H C
FR0010754200;EUR;FP;EMTT6CC;None;C3M;ETP;AMUNDI ETF GOVIES 0-6 MONTHS;#N/A N/A;#N/A N/A;AMUNDI ETF GOVIE
FR0011869387;EUR;FP;NU716854;None;PRUS;ETP;LYXOR PEA MSCI RUSSIA IMI S;#N/A N/A;#N/A N/A;LYX PEA MSCI RUS
IE00BFY0GT14;USD;LN;NDDUWI;None;SWRD;ETP;SPDR MSCI WORLD ACC;#N/A N/A;#N/A N/A;SPDR MSCI WORLD
LU1829219390;EUR;FP;SX7T;None;BNKE;ETP;LYXOR EURO STOXX BANKS DR;#N/A N/A;#N/A N/A;LYX EUR STX BNKS
IE00BKX55T58;GBP;LN;AWNT04U;Quarter;VEVE;ETP;VANG FTSE DW USDD;#N/A N/A;#N/A N/A;VANG DEV WLD $D
LU0533033238;EUR;IM;NDWUHC;None;HLTW;ETP;LYXOR MSCI WORLD HEALTHCARE;#N/A N/A;#N/A N/A;LYX MSCI WRD HC
FR0010527275;EUR;FP;WOWAXC;Annual;WAT;ETP;LYXOR WORLD WATER DR;#N/A N/A;#N/A N/A;LYX WRLD WATR DR
IE00B02KXH56;EUR;IM;NDDUJN;Semi-Anl;IJPN;ETP;ISHARES MSCI JAPAN;#N/A N/A;#N/A N/A;ISHR MSCI JAPAN
IE00B1FZS574;GBp;LN;NDEUTUR;Semi-Anl;ITKY;ETP;ISHARES MSCI TURKEY;#N/A N/A;#N/A N/A;ISHR MSCI TURKEY
FR0011770775;EUR;FP;CACPG;Annual;PEAP;ETP;LYXOR PEA PME;#N/A N/A;#N/A N/A;LYXETF PEA PME
IE00B1FZS467;EUR;IM;FGCIITU;Quarter;INFR;ETP;ISHARES GLBL INFRASTRUCTURE;#N/A N/A;#N/A N/A;ISHR GLB INFRA
IE00B02KXL92;EUR;GY;MCXT;Quarter;IQQM;ETP;ISHARES EURO STOXX MID CAP;#N/A N/A;#N/A N/A;ISHR €STOXX MID
FR0010717090;EUR;FP;M4EMHDVD;None;CD8;ETP;AMUNDI ETF MSCI EMU HIGH DIV;#N/A N/A;#N/A N/A;AMUNDI ETF MSCI
LU0908501058;EUR;FP;SXXT;None;MFED;ETP;LYXOR CORE EURSTX300 DR;#N/A N/A;#N/A N/A;LYXETF EURSTX300
IE00BFXR7892;USD;LN;H11137;None;KWEB;ETP;KRANESHARES CSI CHINA INTRNT;#N/A N/A;#N/A N/A;KRNSH CSI CHINA
NL0009272764;EUR;NA;TTMTIDF;Quarter;DTM;ETP;VANECK CONSERVATIVE ALLOC;#N/A N/A;#N/A N/A;VANECK CONS ALLC
FR0013346681;EUR;FP;FMMPIEG5;None;OBLI;ETP;LYXOR PEA OBLIGATIONS D'ETAT;#N/A N/A;#N/A N/A;LYXOR PEA OBLI
FR0013412038;EUR;FP;MSDEE15N;None;PCEU;ETP;AMUNDI PEA EUROPE UCITS ETF;#N/A N/A;#N/A N/A;AMUNDI PEA EUROP
LU1812092168;EUR;FP;SD3R;Semi-Anl;SEL;ETP;LYXOR STX600 SELCT DIV 30;#N/A N/A;#N/A N/A;LYX STX30 SELDIV
IE00B02KXM00;EUR;IM;SCXT;Quarter;DJSC;ETP;ISHARES EURO STOXX SMALL CAP;#N/A N/A;#N/A N/A;ISHR € STX SM
IE00BYTRRG40;EUR;NA;NU731555;None;WTEL;ETP;SPDR MSCI WORLD COMMUNICATIO;#N/A N/A;#N/A N/A;SPDR MSCI WORLD
FR0011440478;EUR;FP;NDUEEGF;None;PLEM;ETP;LYXOR PEA MSCI EM MARKETS;#N/A N/A;#N/A N/A;LYX MSCI PEA EM
IE00BYYR0C64;EUR;GR;#N/A Field Not Applicable;#N/A N/A;VMVL;ETP;VANG GLMINVO USDHA;#N/A N/A;#N/A N/A;VANG GLMVOL $HD
LU1681047079;EUR;FP;CAC;Irreg;C4D;ETP;AMUNDI CAC 40 UCITS;#N/A N/A;#N/A N/A;AMUNDI CAC 40
LU1861138961;EUR;FP;MXEFSXNU;None;EMSRI;ETP;AMUNDI INDEX MSCI EMER MKTSM;#N/A N/A;#N/A N/A;AMUNDI EM MKTS S
IE00BZ163L38;GBP;LN;BESQTRUU;Monthly;VEMT;ETP;VANG USDEMGVB USDD;#N/A N/A;#N/A N/A;VANG $EMB GOV $D
LU1287023185;EUR;IM;I35199EU;None;EM710;ETP;LYXOR EUR GOV BOND 7-10Y DR;#N/A N/A;#N/A N/A;LYX EU GOV 7-10Y
FR0011882364;EUR;FP;WOWAXC;None;AWAT;ETP;LYXOR PEA WRLD WATER;#N/A N/A;#N/A N/A;LYX PEA WRD WATR
IE00BYTRRC02;EUR;NA;NU731556;None;WIND;ETP;SPDR WORLD INDUSTRIALS;#N/A N/A;#N/A N/A;SPDR WORLD INDUS
IE00B4L5YC18;USD;LN;NDUEEGF;None;IEMA;ETP;ISHARES MSCI EM ACC;#N/A N/A;#N/A N/A;ISHR MSCI EM ACC
FR0013412012;EUR;FP;NDUEEGFA;None;PAASI;ETP;AMUNDI PEA EM ASIA UCITS ETF;#N/A N/A;#N/A N/A;AMUNDI PEA EMASI
LU1215461085;EUR;IM;BLQ5TRUU;Semi-Anl;CBSUS;ETP;UBS ETF BM US LIQ. C. SUST.U;#N/A N/A;#N/A N/A;BS BM US LIQ C S
IE00B53QG562;EUR;GY;M7EM;None;SXR7;ETP;ISHARES CORE MSCI EMU EUR A;#N/A N/A;#N/A N/A;ISH CORE EMU EUR
LU1481202692;EUR;FP;LEATTREU;None;JBEM;ETP;BNP BBG BARCL EU AGG TR ETF;#N/A N/A;#N/A N/A;BNP B B E AT ETF
IE0008470928;EUR;NA;SX5R;Quarter;EUNA;ETP;ISHARES STOXX EUROPE 50;#N/A N/A;#N/A N/A;ISHR STX ERP 50
LU1681049018;USD;FP;SPTR500N;None;500U;ETP;AMUNDI S&P 500 UCITS ETF;#N/A N/A;#N/A N/A;AMUNDI S&P 500
IE00BYTRR640;EUR;NA;NU731558;None;WCOD;ETP;SPDR WORLD CON DISCRETIONRY;#N/A N/A;#N/A N/A;SPDR WORLD C DIS
FR0012739431;EUR;FP;SX5T;None;ETDD;ETP;BNP P EURO STOXX 50 UCITS;#N/A N/A;#N/A N/A;BNPP €STOXX50 C
IE00B44T3H88;GBp;LN;NDEUCHF;Semi-Anl;HMCH;ETP;HSBC MSCI CHINA UCITS ETF;#N/A N/A;#N/A N/A;HSBC MSCI CHINA
LU1829219390;EUR;FP;SX7T;None;BNKE;ETP;LYXOR EURO STOXX BANKS DR;#N/A N/A;#N/A N/A;LYX EUR STX BNKS
IE00BYTRR756;USD;LN;NU731557;None;WCOS;ETP;SPDR WORLD CON STAPLES;#N/A N/A;#N/A N/A;SPDR WORLD C STA
IE00B0M63516;GBp;LN;NDUEBRAF;Quarter;IBZL;ETP;ISHARES MSCI BRAZIL;#N/A N/A;#N/A N/A;ISHR MSCI BRAZIL
NL0000235190;EUR;FP;#N/A Field Not Applicable;Annual;AIR;Common Stock;AIRBUS SE;Industrials;Aerospace & Defense;AIRBUS SE
FR0000120271;EUR;FP;#N/A Field Not Applicable;Quarter;TTE;Common Stock;TOTALENERGIES SE;Energy;Oil, Gas & Consumable Fuels;TOTALENERGIES SE
FR0010397232;EUR;FP;#N/A Field Not Applicable;#N/A N/A;ALNOV;Common Stock;NOVACYT;Health Care;Biotechnology;NOVACYT
FR0000130809;EUR;FP;#N/A Field Not Applicable;Annual;GLE;Common Stock;SOCIETE GENERALE SA;Financials;Banks;SOC GENERALE SA
FR0000131104;EUR;FP;#N/A Field Not Applicable;Annual;BNP;Common Stock;BNP PARIBAS;Financials;Banks;BNP PARIBAS
FR0000131906;EUR;FP;#N/A Field Not Applicable;Annual;RNO;Common Stock;RENAULT SA;Consumer Discretionary;Automobiles;RENAULT SA
FR0000031122;EUR;FP;#N/A Field Not Applicable;Irreg;AF;Common Stock;AIR FRANCE-KLM;Industrials;Airlines;AIR FRANCE-KLM
FR0000045072;EUR;FP;#N/A Field Not Applicable;Annual;ACA;Common Stock;CREDIT AGRICOLE SA;Financials;Banks;CREDIT AGRICOLE
FR0000121014;EUR;FP;#N/A Field Not Applicable;Semi-Anl;MC;Common Stock;LVMH MOET HENNESSY LOUIS VUI;Consumer Discretionary;Textiles, Apparel & Luxury Goo;LVMH MOET HENNE
FR0013181864;EUR;FP;#N/A Field Not Applicable;Irreg;CGG;Common Stock;CGG SA;Energy;Energy Equipment & Services;CGG SA
FR0000120685;EUR;FP;#N/A Field Not Applicable;Annual;KN;Common Stock;NATIXIS;Financials;Capital Markets;NATIXIS
FR0000120073;EUR;FP;#N/A Field Not Applicable;Annual;AI;Common Stock;AIR LIQUIDE SA;Materials;Chemicals;AIR LIQUIDE SA
FR0000121501;EUR;FP;#N/A Field Not Applicable;Annual;UG;Common Stock;PEUGEOT SA;Consumer Discretionary;Automobiles;PEUGEOT SA
FR0000120578;EUR;FP;#N/A Field Not Applicable;Annual;SAN;Common Stock;SANOFI;Health Care;Pharmaceuticals;SANOFI
FR0000120628;EUR;FP;#N/A Field Not Applicable;Annual;CS;Common Stock;AXA SA;Financials;Insurance;AXA
FR0004163111;EUR;FP;#N/A Field Not Applicable;None;GNFT;Common Stock;GENFIT;Health Care;Biotechnology;GENFIT
FR0013066750;EUR;FP;#N/A Field Not Applicable;None;ALDBT;Common Stock;DBT;Industrials;Electrical Equipment;DBT
FR0000073272;EUR;FP;#N/A Field Not Applicable;Annual;SAF;Common Stock;SAFRAN SA;Industrials;Aerospace & Defense;SAFRAN SA
FR0011051598;EUR;FP;#N/A Field Not Applicable;None;ALMIB;Common Stock;AMOEBA SAS;Materials;Chemicals;AMOEBA SAS
FR0011005933;EUR;FP;#N/A Field Not Applicable;Irreg;ALBIO;Common Stock;BIOSYNEX;Health Care;Health Care Equipment & Suppli;BIOSYNEX
FR0013240934;EUR;FP;#N/A Field Not Applicable;None;ALERS;Common Stock;EUROBIO-SCIENTIFIC;Health Care;Biotechnology;EUROBIO-SCIENTIF
GB00BDSFG982;USD;US;#N/A Field Not Applicable;Annual;FTI;Common Stock;TECHNIPFMC PLC;Energy;Energy Equipment & Services;TECHNIPFMC PLC
FR0013451333;EUR;FP;#N/A Field Not Applicable;Irreg;FDJ;Common Stock;LA FRANCAISE DES JEUX SAEM;Consumer Discretionary;Hotels, Restaurants & Leisure;LA FRANCAISE DES
FR0012816825;EUR;FP;#N/A Field Not Applicable;None;ALBPS;Common Stock;BIOPHYTIS;Health Care;Biotechnology;BIOPHYTIS
FR0000125486;EUR;FP;#N/A Field Not Applicable;Semi-Anl;DG;Common Stock;VINCI SA;Industrials;Construction & Engineering;VINCI SA
NL0000226223;EUR;FP;#N/A Field Not Applicable;Quarter;STM;Common Stock;STMICROELECTRONICS NV;Information Technology;Semiconductors & Semiconductor;STMICROELECTRONI
FR0010417345;EUR;FP;#N/A Field Not Applicable;None;DBV;Common Stock;DBV TECHNOLOGIES SA;Health Care;Biotechnology;DBV TECHNOLOGIES
FR0013227113;EUR;FP;#N/A Field Not Applicable;Irreg;SOI;Common Stock;S.O.I.T.E.C.;Information Technology;Semiconductors & Semiconductor;SOITEC
FR0000121485;EUR;FP;#N/A Field Not Applicable;Semi-Anl;KER;Common Stock;KERING;Consumer Discretionary;Textiles, Apparel & Luxury Goo;KERING
FR0000133308;EUR;FP;#N/A Field Not Applicable;Semi-Anl;ORA;Common Stock;ORANGE;Communication Services;Diversified Telecommunication;ORANGE
FR0000130692;EUR;FP;#N/A Field Not Applicable;Semi-Anl;CRI;Common Stock;CHARGEURS SA;Consumer Discretionary;Textiles, Apparel & Luxury Goo;CHARGEURS SA
FR0011179886;EUR;FP;#N/A Field Not Applicable;None;ALINS;Common Stock;INTRASENSE SAS;Health Care;Health Care Technology;INTRASENSE SAS
FR0012789949;EUR;FP;#N/A Field Not Applicable;Irreg;EUCAR;Common Stock;EUROPCAR MOBILITY GROUP;Industrials;Road & Rail;EUROPCAR MOBILIT
FR0000125585;EUR;FP;#N/A Field Not Applicable;Irreg;CO;Common Stock;CASINO GUICHARD PERRACHON;Consumer Staples;Food & Staples Retailing;CASINO GUICHARD
FR0011799907;EUR;FP;#N/A Field Not Applicable;None;GV;Common Stock;GENOMIC VISION;Health Care;Biotechnology;GENOMIC VIS
FR0013183985;EUR;FP;#N/A Field Not Applicable;None;SIGHT;Common Stock;GENSIGHT BIOLOGICS SA;Health Care;Biotechnology;GENSIGHT
FR0010208488;EUR;FP;#N/A Field Not Applicable;Annual;ENGI;Common Stock;ENGIE;Utilities;Multi-Utilities;ENGIE
FR0000120321;EUR;FP;#N/A Field Not Applicable;Annual;OR;Common Stock;L'OREAL;Consumer Staples;Personal Products;L'OREAL
FR0004197747;EUR;FP;#N/A Field Not Applicable;#N/A N/A;ALTER;Common Stock;THERADIAG;Health Care;Health Care Equipment & Suppli;THERADIAG
FR0000120172;EUR;FP;#N/A Field Not Applicable;Annual;CA;Common Stock;CARREFOUR SA;Consumer Staples;Food & Staples Retailing;CARREFOUR SA
FR0013426004;EUR;FP;#N/A Field Not Applicable;None;CLA;Common Stock;CLARANOVA;Information Technology;Software;CLARANOVA
FR0013233475;EUR;FP;#N/A Field Not Applicable;None;LYS;Common Stock;LYSOGENE SA;Health Care;Biotechnology;LYSOGENE SA
FR0000120503;EUR;FP;#N/A Field Not Applicable;Annual;EN;Common Stock;BOUYGUES SA;Industrials;Construction & Engineering;BOUYGUES SA
FR0000125007;EUR;FP;#N/A Field Not Applicable;Annual;SGO;Common Stock;COMPAGNIE DE SAINT GOBAIN;Industrials;Building Products;SAINT GOBAIN
FR0000130650;EUR;FP;#N/A Field Not Applicable;Annual;DSY;Common Stock;DASSAULT SYSTEMES SE;Information Technology;Software;DASSAULT SYSTEME
FR0000051807;EUR;FP;#N/A Field Not Applicable;Annual;TEP;Common Stock;TELEPERFORMANCE;Industrials;Professional Services;TELEPERFORMANCE
FR0000120222;EUR;FP;#N/A Field Not Applicable;Annual;CNP;Common Stock;CNP ASSURANCES;Financials;Insurance;CNP ASSURANCES
FR0000120644;EUR;FP;#N/A Field Not Applicable;Annual;BN;Common Stock;DANONE;Consumer Staples;Food Products;DANONE
FR0010557264;EUR;FP;#N/A Field Not Applicable;None;AB;Common Stock;AB SCIENCE SA;Health Care;Pharmaceuticals;AB SCIENCE SA
FR0000120404;EUR;FP;#N/A Field Not Applicable;Annual;AC;Common Stock;ACCOR SA;Consumer Discretionary;Hotels, Restaurants & Leisure;ACCOR SA
FR0000131757;EUR;FP;#N/A Field Not Applicable;Annual;ERA;Common Stock;ERAMET;Materials;Metals & Mining;ERAMET
FR0012432516;EUR;FP;#N/A Field Not Applicable;None;POXEL;Common Stock;POXEL SA;Health Care;Biotechnology;POXEL SA
FR0013176526;EUR;FP;#N/A Field Not Applicable;Annual;FR;Common Stock;VALEO SA;Consumer Discretionary;Auto Components;VALEO SA
FR0000054470;EUR;FP;#N/A Field Not Applicable;None;UBI;Common Stock;UBISOFT ENTERTAINMENT;Communication Services;Entertainment;UBISOFT ENTERTAI
FR0000052292;EUR;FP;#N/A Field Not Applicable;Semi-Anl;RMS;Common Stock;HERMES INTERNATIONAL;Consumer Discretionary;Textiles, Apparel & Luxury Goo;HERMES INTL
FR0010242511;EUR;FP;#N/A Field Not Applicable;Semi-Anl;EDF;Common Stock;EDF;Utilities;Electric Utilities;EDF
FR0000124141;EUR;FP;#N/A Field Not Applicable;Annual;VIE;Common Stock;VEOLIA ENVIRONNEMENT;Utilities;Multi-Utilities;VEOLIA ENVIRONNE
FR0013280286;EUR;FP;#N/A Field Not Applicable;Annual;BIM;Common Stock;BIOMERIEUX;Health Care;Health Care Equipment & Suppli;BIOMERIEUX
FR0010331421;EUR;FP;#N/A Field Not Applicable;None;IPH;Common Stock;INNATE PHARMA SA;Health Care;Biotechnology;INNATE PHARMA SA
FR0013345493;EUR;FP;#N/A Field Not Applicable;None;ALTUV;Common Stock;BIO-UV GROUP SAS;Industrials;Machinery;BIO-UV GROUP SAS
FR0010340141;EUR;FP;#N/A Field Not Applicable;Semi-Anl;ADP;Common Stock;ADP;Industrials;Transportation Infrastructure;ADP
FR0013481835;EUR;FP;#N/A Field Not Applicable;None;ALVMG;Common Stock;VISIOMED GROUP;Health Care;Health Care Equipment & Suppli;VISIOMED GROUP
FR0000051732;EUR;FP;#N/A Field Not Applicable;Annual;ATO;Common Stock;ATOS SE;Information Technology;IT Services;ATOS SE
FR0000125338;EUR;FP;#N/A Field Not Applicable;Annual;CAP;Common Stock;CAPGEMINI SE;Information Technology;IT Services;CAPGEMINI SE
FR0013154002;EUR;FP;#N/A Field Not Applicable;Annual;DIM;Common Stock;SARTORIUS STEDIM BIOTECH;Health Care;Life Sciences Tools & Services;SARTORIUS STEDIM
FR0000121329;EUR;FP;#N/A Field Not Applicable;Semi-Anl;HO;Common Stock;THALES SA;Industrials;Aerospace & Defense;THALES SA
FR0013506730;EUR;FP;#N/A Field Not Applicable;Irreg;VK;Common Stock;VALLOUREC SA;Energy;Energy Equipment & Services;VALLOUREC
FR0000121667;EUR;FP;#N/A Field Not Applicable;Annual;EL;Common Stock;ESSILORLUXOTTICA;Consumer Discretionary;Textiles, Apparel & Luxury Goo;ESSILORLUXOTTICA
FR0000121972;EUR;FP;#N/A Field Not Applicable;Annual;SU;Common Stock;SCHNEIDER ELECTRIC SE;Industrials;Electrical Equipment;SCHNEIDER ELECTR
FR0000121964;EUR;FP;#N/A Field Not Applicable;Semi-Anl;LI;REIT;KLEPIERRE;Real Estate;Equity Real Estate Investment;KLEPIERRE
FR0013269123;EUR;FP;#N/A Field Not Applicable;Annual;RUI;Common Stock;RUBIS;Utilities;Gas Utilities;RUBIS
FR0000184798;EUR;FP;#N/A Field Not Applicable;Annual;ORP;Common Stock;ORPEA;Health Care;Health Care Providers & Servic;ORPEA
FR0000121261;EUR;FP;#N/A Field Not Applicable;Annual;ML;Common Stock;MICHELIN (CGDE);Consumer Discretionary;Auto Components;MICHELIN
NL0012044762;EUR;FP;#N/A Field Not Applicable;None;ALNOX;Common Stock;NOXXON PHARMA NV;Health Care;Biotechnology;NOXXON PHARMA NV
FR0011648971;EUR;FP;#N/A Field Not Applicable;None;ALQGC;Common Stock;QUANTUM GENOMICS SAS-REGR;Health Care;Biotechnology;QUANTUM GEN-REGR
FR0010667147;EUR;FP;#N/A Field Not Applicable;Annual;COFA;Common Stock;COFACE SA;Financials;Insurance;COFACE SA
FR0000054900;EUR;FP;#N/A Field Not Applicable;Annual;TFI;Common Stock;TELEVISION FRANCAISE (T.F.1);Communication Services;Media;TELEVISION FRANC
FR0010259150;EUR;FP;#N/A Field Not Applicable;Annual;IPN;Common Stock;IPSEN;Health Care;Pharmaceuticals;IPSEN
FR0010112524;EUR;FP;#N/A Field Not Applicable;Annual;NXI;Common Stock;NEXITY;Real Estate;Real Estate Management & Devel;NEXITY
FR0000127771;EUR;FP;#N/A Field Not Applicable;Annual;VIV;Common Stock;VIVENDI;Communication Services;Entertainment;VIVENDI
FR0011981968;EUR;FP;#N/A Field Not Applicable;None;WLN;Common Stock;WORLDLINE SA;Information Technology;IT Services;WORLDLINE
FR0000121147;EUR;FP;#N/A Field Not Applicable;Annual;EO;Common Stock;FAURECIA;Consumer Discretionary;Auto Components;FAURECIA
FR0012616852;EUR;FP;#N/A Field Not Applicable;None;ABNX;Common Stock;ABIONYX PHARMA SA;Health Care;Biotechnology;ABIONYX PHARMA S
FR0000125346;EUR;FP;#N/A Field Not Applicable;Annual;ING;Common Stock;INGENICO GROUP;Information Technology;Electronic Equipment, Instrume;INGENICO GROUP
FR0011476928;EUR;FP;#N/A Field Not Applicable;Irreg;FNAC;Common Stock;FNAC DARTY SA;Consumer Discretionary;Specialty Retail;FNAC DARTY SA
FR0011191287;EUR;FP;#N/A Field Not Applicable;None;ALPHA;Common Stock;PHARNEXT SA;Health Care;Biotechnology;PHARNEXT SA
FR0011726835;EUR;FP;#N/A Field Not Applicable;Semi-Anl;GTT;Common Stock;GAZTRANSPORT ET TECHNIGA SA;Energy;Oil, Gas & Consumable Fuels;GAZTRANSPORT
FR0012333284;EUR;FP;#N/A Field Not Applicable;None;ABVX;Common Stock;ABIVAX SA;Health Care;Biotechnology;ABIVAX SA
FR0000120693;EUR;FP;#N/A Field Not Applicable;Semi-Anl;RI;Common Stock;PERNOD RICARD SA;Consumer Staples;Beverages;PERNOD RICARD SA
FR0010386334;EUR;FP;#N/A Field Not Applicable;Annual;KORI;Common Stock;KORIAN;Health Care;Health Care Providers & Servic;KORIAN
FR0011950732;EUR;FP;#N/A Field Not Applicable;Annual;ELIOR;Common Stock;ELIOR GROUP;Consumer Discretionary;Hotels, Restaurants & Leisure;ELIOR GROUP
FR0000130213;EUR;FP;#N/A Field Not Applicable;Annual;MMB;Common Stock;LAGARDERE SCA;Communication Services;Media;LAGARDERE SCA
FR0013156007;EUR;FP;#N/A Field Not Applicable;None;ALKLK;Common Stock;KERLINK SACA;Information Technology;Communications Equipment;KERLINK SACA
FR0010221234;EUR;FP;#N/A Field Not Applicable;Annual;ETL;Common Stock;EUTELSAT COMMUNICATIONS;Communication Services;Media;EUTELSAT COMMUNI
FI0009000681;EUR;FH;#N/A Field Not Applicable;Irreg;NOKIA;Common Stock;NOKIA OYJ;Information Technology;Communications Equipment;NOKIA OYJ
FR0013153541;EUR;FP;#N/A Field Not Applicable;Annual;MDM;Common Stock;MAISONS DU MONDE SA;Consumer Discretionary;Specialty Retail;MAISONS DU MONDE
FR0004035913;EUR;FP;#N/A Field Not Applicable;Annual;ILD;Common Stock;ILIAD SA;Communication Services;Diversified Telecommunication;ILIAD SA
FR0010220475;EUR;FP;#N/A Field Not Applicable;Annual;ALO;Common Stock;ALSTOM;Industrials;Machinery;ALSTOM
FR0011471135;EUR;FP;#N/A Field Not Applicable;#N/A N/A;ERYP;Common Stock;ERYTECH PHARMA;Health Care;Biotechnology;ERYTECH PHARMA
FR0004153930;EUR;FP;#N/A Field Not Applicable;None;ALHYG;Common Stock;HYBRIGENICS SA;Health Care;Biotechnology;HYBRIGENICS
FR0011898584;EUR;FP;#N/A Field Not Applicable;None;ALUVI;Common Stock;UV GERMI SA;Industrials;Machinery;UV GERMI SA
FR0004180537;EUR;FP;#N/A Field Not Applicable;Annual;AKA;Common Stock;AKKA TECHNOLOGIES;Industrials;Professional Services;AKKA TECHNOLOGIE
FR0011341205;EUR;FP;#N/A Field Not Applicable;None;NANO;Common Stock;NANOBIOTIX;Health Care;Biotechnology;NANOBIOTIX
FR0000120859;EUR;FP;#N/A Field Not Applicable;Annual;NK;Common Stock;IMERYS SA;Materials;Construction Materials;IMERYS SA
FR0010193052;EUR;FP;#N/A Field Not Applicable;None;CATG;Common Stock;CATANA GROUP;Consumer Discretionary;Leisure Products;CATANA GROUP
FR0000075343;EUR;FP;#N/A Field Not Applicable;Irreg;ALEMG;Common Stock;EUROMEDIS GROUPE;Health Care;Health Care Equipment & Suppli;EUROMEDIS GROUPE
FR0000121725;EUR;FP;#N/A Field Not Applicable;Annual;AM;Common Stock;DASSAULT AVIATION SA;Industrials;Aerospace & Defense;DASSAULT AVIATIO
FR0011742329;EUR;FP;#N/A Field Not Applicable;None;MCPHY;Common Stock;MCPHY ENERGY SA;Industrials;Machinery;MCPHY ENERGY SA
FR0004056851;EUR;FP;#N/A Field Not Applicable;None;VLA;Common Stock;VALNEVA SE;Health Care;Biotechnology;VALNEVA SE
FR0000075392;EUR;FP;#N/A Field Not Applicable;Annual;ORAP;Common Stock;ORAPI;Materials;Chemicals;ORAPI
FR0004065605;EUR;FP;#N/A Field Not Applicable;None;MEDCL;Common Stock;MEDINCELL SA;Health Care;Pharmaceuticals;MEDINCELL SA
FR0000064578;EUR;FP;#N/A Field Not Applicable;Annual;COV;REIT;COVIVIO;Real Estate;Equity Real Estate Investment;COVIVIO
FR0011716265;EUR;FP;#N/A Field Not Applicable;None;ALCJ;Common Stock;CROSSJECT;Health Care;Health Care Equipment & Suppli;CROSSJECT
FR0000130577;EUR;FP;#N/A Field Not Applicable;Annual;PUB;Common Stock;PUBLICIS GROUPE;Communication Services;Media;PUBLICIS GROUPE
FR0000130452;EUR;FP;#N/A Field Not Applicable;Annual;FGR;Common Stock;EIFFAGE;Industrials;Construction & Engineering;EIFFAGE
FR0010609263;EUR;FP;#N/A Field Not Applicable;None;MKEA;Common Stock;MAUNA KEA TECHNOLOGIES;Health Care;Health Care Equipment & Suppli;MAUNA KEA TECHNO
FR0013379484;EUR;FP;#N/A Field Not Applicable;None;S30;Common Stock;SOLUTIONS 30 SE;Information Technology;IT Services;SOLUTIONS 30 SE
AN8068571086;USD;US;#N/A Field Not Applicable;Quarter;SLB;Common Stock;SCHLUMBERGER LTD;Energy;Energy Equipment & Services;SCHLUMBERGER LTD
FR0010425595;EUR;FP;#N/A Field Not Applicable;None;ALCLS;Common Stock;CELLECTIS;Health Care;Biotechnology;CELLECTIS
LU0088087324;EUR;FP;#N/A Field Not Applicable;Annual;SESG;Receipt;SES;Communication Services;Media;SES
FR0000121220;EUR;FP;#N/A Field Not Applicable;Annual;SW;Common Stock;SODEXO SA;Consumer Discretionary;Hotels, Restaurants & Leisure;SODEXO SA
FR0013410370;EUR;FP;#N/A Field Not Applicable;None;ALAMG;Common Stock;AUPLATA MINING GR;Materials;Metals & Mining;AUPLATA MINING G
FR0010411983;EUR;FP;#N/A Field Not Applicable;Annual;SCR;Common Stock;SCOR SE;Financials;Insurance;SCOR SE
FR0011675362;EUR;FP;#N/A Field Not Applicable;None;NEOEN;Common Stock;NEOEN SA;Utilities;Independent Power and Renewabl;NEOEN SA
FR0011191766;EUR;FP;#N/A Field Not Applicable;None;EOSI;Common Stock;EOS IMAGING SA;Health Care;Health Care Equipment & Suppli;EOS IMAGING SA
FR0000124570;EUR;FP;#N/A Field Not Applicable;Annual;POM;Common Stock;PLASTIC OMNIUM;Consumer Discretionary;Auto Components;PLASTIC OMNIUM
FR0010908723;EUR;FP;#N/A Field Not Applicable;None;ALINT;Common Stock;INTEGRAGEN;Health Care;Biotechnology;INTEGRAGEN
FR0000060618;EUR;FP;#N/A Field Not Applicable;Annual;RAL;Common Stock;RALLYE SA;Consumer Staples;Food & Staples Retailing;RALLYE SA
FR0010908533;EUR;FP;#N/A Field Not Applicable;Annual;EDEN;Common Stock;EDENRED;Information Technology;IT Services;EDENRED
FR0010493510;EUR;FP;#N/A Field Not Applicable;None;ALALO;Common Stock;ACHETER-LOUER.FR;Communication Services;Interactive Media & Services;ACHETER-LOUER.FR
FR0012435121;EUR;FP;#N/A Field Not Applicable;Annual;ELIS;Common Stock;ELIS SA;Industrials;Commercial Services & Supplies;ELIS SA
FR0012127173;EUR;FP;#N/A Field Not Applicable;#N/A N/A;OSE;Common Stock;OSE IMMUNO;Health Care;Biotechnology;OSE IMMUNO
FR0010613471;EUR;FP;#N/A Field Not Applicable;Annual;SEV;Common Stock;SUEZ;Utilities;Multi-Utilities;SUEZ
FR0000121709;EUR;FP;#N/A Field Not Applicable;Annual;SK;Common Stock;SEB SA;Consumer Discretionary;Household Durables;SEB SA
