ISIN,Code,Name,Country,Exchange,Currency,Type,ISIN
FR0013341781,2CRSI,2CRSI S.A,France,PA,EUR,Common Stock,FR0013341781
FR0010557264,AB,AB Science S.A,France,PA,EUR,Common Stock,FR0010557264
FR0004040608,ABCA,ABC arbitrage SA,France,PA,EUR,Common Stock,FR0004040608
FR0000060402,ABIO,Albioma,France,PA,EUR,Common Stock,FR0000060402
FR0012616852,ABNX,ABIONYX Pharma SA,France,PA,EUR,Common Stock,FR0012616852
FR0012333284,ABVX,ABIVAX Société Anonyme,France,PA,EUR,Common Stock,FR0012333284
FR0000120404,AC,Accor SA,France,PA,EUR,Common Stock,FR0000120404
FR0000045072,ACA,Crédit Agricole S.A,France,PA,EUR,Common Stock,FR0000045072
FR0011184241,ADOC,Adocia SA,France,PA,EUR,Common Stock,FR0011184241
FR0010340141,ADP,Aeroports de Paris SA,France,PA,EUR,Common Stock,FR0010340141
LU1681045370,AEEM,Amundi Index Solutions - Amundi MSCI Emerging Markets UCITS ETF-C EUR,France,PA,EUR,ETF,LU1681045370
FR0000031122,AF,Air France-KLM SA,France,PA,EUR,Common Stock,FR0000031122
LU1681040900,AFLT,Amundi Index Solutions - Amundi ETF Floating Rate USD Corporate,France,PA,USD,ETF,LU1681040900
FR0000120073,AI,L'Air Liquide S.A,France,PA,EUR,Common Stock,FR0000120073
NL0000235190,AIR,Airbus SE,France,PA,EUR,Common Stock,NL0000235190
FR0004180537,AKA,AKKA Technologies SE,France,PA,EUR,Common Stock,FR0004180537
FR0010313833,AKE,Arkema S.A,France,PA,EUR,Common Stock,FR0010313833
FR0010493510,ALALO,Acheter-Louer.Fr SA,France,PA,EUR,Common Stock,FR0010493510
FR0011005933,ALBIO,Biosynex SA,France,PA,EUR,Common Stock,FR0011005933
FR0012816825,ALBPS,Biophytis SA,France,PA,EUR,Common Stock,FR0012816825
FR0004172450,ALBUD,MINT Société anonyme,France,PA,EUR,Common Stock,FR0004172450
FR0010907956,ALCAR,Carmat SA,France,PA,EUR,Common Stock,FR0010907956
FR0011716265,ALCJ,Crossject Société Anonyme,France,PA,EUR,Common Stock,FR0011716265
FR0010425595,ALCLS,Cellectis S.A,France,PA,EUR,Common Stock,FR0010425595
FR0011648716,ALCRB,Carbios SAS,France,PA,EUR,Common Stock,FR0011648716
FR0013505583,ALCYB,Cybergun S.A,France,PA,EUR,Common Stock,FR0013505583
FR0013258662,ALD,ALD S.A,France,PA,EUR,Common Stock,FR0013258662
FR0013066750,ALDBT,DBT SA,France,PA,EUR,Common Stock,FR0013066750
FR0010879056,ALDEI,Deinove SA,France,PA,EUR,Common Stock,FR0010879056
FR0011522168,ALDR,Delta Drone SA,France,PA,EUR,Common Stock,FR0011522168
FR0013088606,ALDRV,Drone Volt SA,France,PA,EUR,Common Stock,FR0013088606
FR0000075343,ALEMG,Euromedis Groupe,France,PA,EUR,Common Stock,FR0000075343
FR0013240934,ALERS,Eurobio Scientific Société anonyme,France,PA,EUR,Common Stock,FR0013240934
FR0000035818,ALESK,Esker SA,France,PA,EUR,Common Stock,FR0000035818
FR0012419307,ALFOC,Focus Home Interactive Société anonyme,France,PA,EUR,Common Stock,FR0012419307
FR0010485268,ALFPC,Fountaine Pajot SA,France,PA,EUR,Common Stock,FR0010485268
FR0004053510,ALGEN,genOway Société anonyme,France,PA,EUR,Common Stock,FR0004053510
FR0004153930,ALHYG,Hybrigenics Société Anonyme,France,PA,EUR,Common Stock,FR0004153930
